,Name,Test Frequency,Control Frequency
0,Well_A01.fcs,100,1.32
1,Well_A02.fcs,99.5,19.2
2,Well_A03.fcs,99.3,19.9
3,Well_A04.fcs,99.1,17.9
4,Well_A05.fcs,98.8,19.6
5,Well_A06.fcs,98.1,18.2
6,Well_A07.fcs,94.7,18.2
7,Well_A08.fcs,97.9,19.4
8,Well_A09.fcs,97.7,17.1
9,Well_A10.fcs,97.1,18.3
10,Well_A11.fcs,97.4,19.9
11,Well_A12.fcs,97.8,21.3
12,Well_A13.fcs,97,20.2
13,Well_A14.fcs,95.2,17.5
14,Well_A15.fcs,96.2,18.5
15,Well_A16.fcs,95.5,16.9
16,Well_A17.fcs,96.8,16.7
17,Well_A18.fcs,96.5,16
18,Well_A19.fcs,97.3,15.2
19,Well_A20.fcs,94,16.1
20,Well_A21.fcs,93,16.2
21,Well_A22.fcs,93.4,16.2
22,Well_A23.fcs,93.5,40.2
23,Well_A24.fcs,100,0
24,Well_B01.fcs,100,1.12
25,Well_B02.fcs,99.2,21.3
26,Well_B03.fcs,99.3,20.5
27,Well_B04.fcs,94,19.2
28,Well_B05.fcs,98.6,18.6
29,Well_B06.fcs,99,19.4
30,Well_B07.fcs,98.6,18.8
31,Well_B08.fcs,98.4,18.2
32,Well_B09.fcs,97.8,18.3
33,Well_B10.fcs,97,17.7
34,Well_B11.fcs,98.1,18.6
35,Well_B12.fcs,92.9,17.5
36,Well_B13.fcs,97.9,16.6
37,Well_B14.fcs,96.7,16.5
38,Well_B15.fcs,95.8,17.4
39,Well_B16.fcs,97,16
40,Well_B17.fcs,95.7,15.9
41,Well_B18.fcs,94.6,17.1
42,Well_B19.fcs,96.3,17.3
43,Well_B20.fcs,93.8,15.3
44,Well_B21.fcs,95,16.1
45,Well_B22.fcs,92.3,14
46,Well_B23.fcs,93.8,37.6
47,Well_B24.fcs,89.6,90.7
48,Well_C01.fcs,100,0.63
49,Well_C02.fcs,99.1,18.4
50,Well_C03.fcs,98.8,20.9
51,Well_C04.fcs,94.5,20.1
52,Well_C05.fcs,98.5,18.4
53,Well_C06.fcs,96.3,19.1
54,Well_C07.fcs,98,19.2
55,Well_C08.fcs,98.2,19.3
56,Well_C09.fcs,98.3,18
57,Well_C10.fcs,96.4,18.7
58,Well_C11.fcs,98.4,17.5
59,Well_C12.fcs,88.9,19.3
60,Well_C13.fcs,95.9,18.9
61,Well_C14.fcs,94,17.4
62,Well_C15.fcs,92.9,17.1
63,Well_C16.fcs,94.6,17.1
64,Well_C17.fcs,96.9,17.7
65,Well_C18.fcs,94.3,17.2
66,Well_C19.fcs,97.6,17.7
67,Well_C20.fcs,95.8,16.8
68,Well_C21.fcs,90,16.7
69,Well_C22.fcs,91.4,16.8
70,Well_C23.fcs,89.8,36.2
71,Well_C24.fcs,0,0
72,Well_D01.fcs,100,0.39
73,Well_D02.fcs,96.3,20
74,Well_D03.fcs,99.2,20.2
75,Well_D04.fcs,95.2,19.2
76,Well_D05.fcs,97.9,20.2
77,Well_D06.fcs,95.8,21.2
78,Well_D07.fcs,96.6,20.1
79,Well_D08.fcs,97.7,19.2
80,Well_D09.fcs,98.1,18.2
81,Well_D10.fcs,95.8,17.3
82,Well_D11.fcs,98.3,19.5
83,Well_D12.fcs,92.9,18.3
84,Well_D13.fcs,95.3,19.4
85,Well_D14.fcs,93.7,18.4
86,Well_D15.fcs,91.7,18
87,Well_D16.fcs,90,19.1
88,Well_D17.fcs,96.6,16.8
89,Well_D18.fcs,94.2,15.2
90,Well_D19.fcs,94.9,17.5
91,Well_D20.fcs,90.8,16.8
92,Well_D21.fcs,91.3,18
93,Well_D22.fcs,90.8,14
94,Well_D23.fcs,92.2,36.7
95,Well_D24.fcs,0,0
96,Well_E01.fcs,100,1.12
97,Well_E02.fcs,96.1,19
98,Well_E03.fcs,97.2,20.6
99,Well_E04.fcs,97.2,19.7
100,Well_E05.fcs,97.8,19.2
101,Well_E06.fcs,95.7,20.5
102,Well_E07.fcs,97,19.7
103,Well_E08.fcs,96.4,19.4
104,Well_E09.fcs,96.6,19.7
105,Well_E10.fcs,93.3,19.3
106,Well_E11.fcs,95.8,18.7
107,Well_E12.fcs,94.3,18.4
108,Well_E13.fcs,95,19.5
109,Well_E14.fcs,94,16.4
110,Well_E15.fcs,89.5,18.8
111,Well_E16.fcs,94.1,18
112,Well_E17.fcs,94,17.4
113,Well_E18.fcs,91.9,17.1
114,Well_E19.fcs,94.4,16.4
115,Well_E20.fcs,89.3,18.2
116,Well_E21.fcs,93.2,15.4
117,Well_E22.fcs,90,16.2
118,Well_E23.fcs,90.1,36.8
119,Well_E24.fcs,100,0
120,Well_F01.fcs,100,0.77
121,Well_F02.fcs,95.6,20.4
122,Well_F03.fcs,97.4,20.3
123,Well_F04.fcs,96.6,19.3
124,Well_F05.fcs,98.2,19.2
125,Well_F06.fcs,94,21.2
126,Well_F07.fcs,95.6,18.8
127,Well_F08.fcs,94.5,16
128,Well_F09.fcs,95.8,19.8
129,Well_F10.fcs,93.7,17.5
130,Well_F11.fcs,91.8,21.1
131,Well_F12.fcs,94.1,17.9
132,Well_F13.fcs,92.3,17.1
133,Well_F14.fcs,93.7,17
134,Well_F15.fcs,90.1,20.1
135,Well_F16.fcs,93.8,17.7
136,Well_F17.fcs,90.6,18.7
137,Well_F18.fcs,89.9,16.4
138,Well_F19.fcs,93,15.5
139,Well_F20.fcs,92.6,16.5
140,Well_F21.fcs,91.5,15.9
141,Well_F22.fcs,92.5,15
142,Well_F23.fcs,87.7,35.8
143,Well_F24.fcs,0,0
144,Well_G01.fcs,100,0.82
145,Well_G02.fcs,97.3,18.4
146,Well_G03.fcs,96.8,24.2
147,Well_G04.fcs,95.8,21.3
148,Well_G05.fcs,96.5,20.8
149,Well_G06.fcs,94.1,21.1
150,Well_G07.fcs,96.6,19.1
151,Well_G08.fcs,95.7,19.3
152,Well_G09.fcs,92.6,19.2
153,Well_G10.fcs,93.4,16.7
154,Well_G11.fcs,95.7,17.5
155,Well_G12.fcs,91.2,18.3
156,Well_G13.fcs,90.6,20.8
157,Well_G14.fcs,94,19.9
158,Well_G15.fcs,92,18.9
159,Well_G16.fcs,95.5,19.4
160,Well_G17.fcs,87,20.2
161,Well_G18.fcs,88.5,16
162,Well_G19.fcs,89.6,16.3
163,Well_G20.fcs,90.1,17
164,Well_G21.fcs,89.3,17.1
165,Well_G22.fcs,89.3,16.4
166,Well_G23.fcs,91.2,36.5
167,Well_G24.fcs,0,0
168,Well_H01.fcs,100,0.99
169,Well_H02.fcs,96.8,23.7
170,Well_H03.fcs,96.5,23.8
171,Well_H04.fcs,95.5,20
172,Well_H05.fcs,97.2,21.2
173,Well_H06.fcs,95.1,23
174,Well_H07.fcs,95.5,21.1
175,Well_H08.fcs,94.3,18
176,Well_H09.fcs,92.1,19.3
177,Well_H10.fcs,92.5,18.1
178,Well_H11.fcs,94.1,17.8
179,Well_H12.fcs,88.4,19.2
180,Well_H13.fcs,89.4,18.1
181,Well_H14.fcs,89.2,15.6
182,Well_H15.fcs,92.5,18.9
183,Well_H16.fcs,90.9,18.5
184,Well_H17.fcs,89.8,17.1
